,7.390326797385607
GeorgesdeBeauregard,7.472727272727273
SergeSilberman,7.914285714285713
TomoyukiTanaka,7.8
AlfredoBini,7.3500000000000005
AnatoleDauman,7.6625
CarloPonti,7.5470588235294125
SanezumiFujimoto,7.8500000000000005
DinoDeLaurentiis,7.185714285714286
FrancoCristaldi,7.883333333333334
MarioCecchiGori,7.072222222222224
R.D.Bansal,8.120000000000001
HalB.Wallis,7.18
RobertDorfmann,7.666666666666667
MenahemGolan,6.859999999999999
BoChristensen,7.349999999999999
AlbertoGrimaldi,7.022222222222222
ElíasQuerejeta,7.671428571428572
MasayukiSatô,7.659999999999999
ElliottKastner,6.639999999999999
AlainPoiré,7.3
JohnForeman,7.040000000000001
BarbetSchroeder,7.566666666666666
IrwinWinkler,7.414285714285713
RobertChartoff,7.028571428571428
LucianoMartino,6.442857142857143
DavidPuttnam,7.45
RaymondChow,7.0875
RayStark,7.083333333333332
PaulM.Heller,6.960000000000001
RobertStigwood,6.9
MartinBregman,7.3
BerndEichinger,7.2
EdwardR.Pressman,7.185714285714286
RichardD.Zanuck,7.5
ArtLinson,7.7
RickMcCallum,8.0
LawrenceGordon,7.2625
MonaFong,7.32
VittorioCecchiGori,6.9125
MargaretMénégoz,7.542857142857144
MichaelShamberg,7.066666666666666
IsmailMerchant,6.9
LeonardHo,7.333333333333332
AlainSarde,7.063157894736841
FrankMarshall,7.800000000000001
JerryBruckheimer,7.528571428571429
KathleenKennedy,7.833333333333333
LuckiStipetic,7.528571428571429
HuntLowry,7.2
ArnonMilchan,7.614285714285714
JeremyThomas,7.32
RobertGreenhut,7.511111111111112
MarkJohnson,7.6571428571428575
MarinKarmitz,7.55
ArnoldKopelson,7.733333333333333
EricFellner,7.525
AndrewScheinman,7.859999999999999
ToshioNabeshima,7.38
JoelSilver,7.959999999999999
PauloBranco,7.019999999999999
PaulWebster,7.08
SimonChanningWilliams,7.6499999999999995
BarbaraDeFina,7.6428571428571415
MarkoRöhr,6.58
NedLott,7.699999999999999
DeniseDiNovi,7.6000000000000005
PhilippeCarcassonne,7.4
VeitHeiduschka,7.371428571428571
TakioYoshida,7.5
WalterF.Parkes,7.62
SteveGolin,7.720000000000001
MartineMarignac,7.014285714285713
BrianGrazer,7.590909090909091
ToshioSuzuki,7.890000000000001
TedHope,7.2
MasayukiMori,7.616666666666667
Li-KongHsu,7.483333333333333
JaromírKallista,7.459999999999999
DavidHeyman,7.588888888888889
LawrenceBender,8.100000000000001
MarkGordon,6.8500000000000005
DomenicoProcacci,7.0200000000000005
JonKilik,7.533333333333334
ScottRudin,7.563636363636363
NivFichman,7.38
GeorgesBenayoun,6.699999999999999
GerardoHerrero,7.5200000000000005
AndrewMacdonald,7.58
MasaoMaruyama,7.339999999999999
ChristopheRossignon,7.583333333333333
DavidBarron,7.433333333333334
ChristineVachon,7.271428571428571
StefanArndt,7.5600000000000005
MasaichiNagata,7.0200000000000005
FernandoBovaira,7.56
TimBevan,7.5875
BarryMendel,7.666666666666667
KimberRickabaugh,8.516666666666667
ErtemEgilmez,8.48
WilliamKong,7.5
LorneOrleans,8.083333333333334
GrahamKing,7.716666666666666
